city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
airai,-8.9266,125.4092,16.33,16.33,93,100,0.51,1644434994,TL
kupang,-10.1667,123.5833,25.99,25.99,84,100,0.94,1644434995,ID
nelson bay,-32.7167,152.15,17.12,19.82,67,2,1.74,1644434995,AU
ballina,-28.8667,153.5667,16.05,17.1,96,7,0.0,1644434996,AU
le port,-20.9373,55.2919,22.98,24.0,82,25,1.44,1644434996,RE
songea,-10.6833,35.65,18.36,18.36,96,100,0.28,1644434997,TZ
saldanha,-33.0117,17.9442,20.03,20.03,89,0,2.96,1644435014,ZA
cidreira,-30.1811,-50.2056,23.45,23.45,63,28,5.02,1644435014,BR
henties bay,-22.116,14.2845,21.03,21.03,83,1,3.19,1644435021,
tandil,-37.3217,-59.1332,26.84,26.84,32,23,4.03,1644434730,AR
ahipara,-35.1667,173.1667,22.97,22.97,87,83,4.69,1644435039,NZ
pocone,-16.2567,-56.6228,25.67,25.67,88,91,3.72,1644435046,BR
padang,-0.9492,100.3543,23.82,23.82,66,100,3.74,1644435065,ID
prainha,-1.8,-53.48,29.77,29.77,63,29,1.22,1644435069,BR
beberibe,-4.1797,-38.1306,30.02,30.02,70,37,3.66,1644435070,BR
samarai,-10.6167,150.6667,27.38,27.38,74,98,4.76,1644435087,PG
sechura,-5.5569,-80.8222,27.2,27.2,54,100,6.84,1644435089,PE
banjarmasin,-3.3244,114.591,25.08,25.08,95,100,0.99,1644435091,ID
tadine,-21.55,167.8833,26.95,26.95,89,100,9.52,1644435094,NC
bukama,-9.2,25.85,21.18,21.18,95,94,0.57,1644435112,CD
constitucion,-35.3333,-72.4167,20.81,20.81,65,13,5.92,1644435113,CL
lakes entrance,-37.8811,147.981,16.76,16.76,90,45,2.44,1644435115,AU
salinopolis,-0.6136,-47.3561,26.68,26.68,84,66,3.58,1644435116,BR
mount gambier,-37.8333,140.7667,13.95,13.95,82,100,2.57,1644435118,AU
port lincoln,-34.7333,135.8667,15.99,15.99,76,94,3.07,1644435119,AU
piacabucu,-10.4056,-36.4344,28.06,28.06,68,91,5.77,1644435120,BR
tautira,-17.7333,-149.15,29.01,29.01,75,27,7.24,1644435141,PF
kasempa,-13.4584,25.8338,18.17,18.17,90,76,0.91,1644435142,ZM
santa isabel,-23.3156,-46.2214,23.97,24.81,84,87,3.97,1644435144,BR
los andes,-32.8337,-70.5983,31.41,31.67,27,0,4.76,1644435161,CL
biak,-0.9131,122.8766,24.92,24.92,82,100,1.32,1644435165,ID
balikpapan,-1.2675,116.8289,23.31,23.31,95,100,2.45,1644435166,ID
kaeo,-35.1,173.7833,22.96,22.96,95,95,3.64,1644435167,NZ
tapes,-30.6733,-51.3958,24.46,24.46,55,6,4.08,1644435183,BR
merauke,-8.4667,140.3333,25.23,25.23,89,99,2.94,1644435185,ID
olavarria,-36.8927,-60.3225,26.68,26.68,47,1,4.16,1644435008,AR
san juan,-31.5375,-68.5364,36.16,36.16,14,0,5.05,1644435190,AR
cascavel,-24.9558,-53.4553,29.78,29.78,39,75,4.12,1644434769,BR
presidencia roque saenz pena,-26.7852,-60.4388,35.38,35.38,15,0,1.86,1644435209,AR
comodoro rivadavia,-45.8667,-67.5,23.92,23.92,29,40,6.17,1644434996,AR
katoro,-3.0203,31.8958,18.6,18.6,87,100,0.97,1644435229,TZ
menongue,-14.6585,17.691,16.36,16.36,95,100,2.07,1644435123,AO
